char,label
醉,O
学,O
分,O
会,O
于,O
2,O
0,O
1,O
4,O
年,O
组,O
织,O
专,O
家,O
组,O
起,O
"
",O
草,O
和,O
制,O
订,O
了,O
《,O
围,O
术,O
期,O
血,B-Test
糖,I-Test
管,O
理,O
专,O
家,O
共,O
识,O
》,O
",",O
本,O
文,O
是,O
在,O
此,O
基,O
础,O
上,O
"
",O
进,O
一,O
步,O
修,O
订,O
的,O
2,O
0,O
1,O
5,O
年,O
快,O
捷,O
版,O
本,O
。,O
"
",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
管,O
理,O
的,O
基,O
本,O
原,O
则,O
"
",O
识,O
别,O
围,O
术,O
期,O
血,B-Test
糖,I-Test
异,I-Test
常,I-Test
的,O
高,O
危,O
人,O
群,O
围,O
术,O
期,O
血,B-Test
糖,I-Test
异,I-Test
常,I-Test
以,O
高,B-Disease
"
",I-Disease
血,I-Disease
糖,I-Disease
为,O
主,O
",",O
可,O
分,O
为,O
合,B-Disease
并,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
的,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
和,O
应,B-Disease
激,I-Disease
性,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
两,O
类,O
"
",O
(,O
s,O
t,O
r,O
e,O
s,O
s,O
-,O
i,O
n,O
d,O
u,O
c,O
e,O
d,O
 ,O
h,O
y,O
p,O
e,O
r,O
g,O
l,O
y,O
c,O
e,O
m,O
i,O
a,O
),O
。,O
一,O
般,O
手,B-Disease
术,I-Disease
围,I-Disease
术,I-Disease
期,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
以,O
合,O
"
",O
并,O
糖,B-Disease
尿,I-Disease
病,I-Disease
者,O
居,O
多,O
。,O
目,O
前,O
我,O
国,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
病,O
率,O
逐,O
年,O
增,O
高,O
",",O
合,O
并,O
糖,B-Disease
"
",I-Disease
尿,I-Disease
病,I-Disease
的,O
外,B-Operation
科,I-Operation
手,I-Operation
术,I-Operation
患,O
者,O
也,O
日,O
趋,O
增,O
多,O
",",O
其,O
中,O
相,O
当,O
比,O
例,O
的,O
患,O
者,O
术,O
前,O
"
",O
并,O
未,O
得,O
到,O
正,O
确,O
诊,O
断,O
和,O
有,O
效,O
控,O
制,O
。,O
有,O
国,O
外,O
研,O
究,O
报,O
道,O
",",O
择,B-Operation
期,I-Operation
手,I-Operation
术,I-Operation
"
",O
中,O
1,O
0,O
%,O
以,O
上,O
的,O
患,O
者,O
合,O
并,O
隐,B-Disease
匿,I-Disease
性,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
[,O
1,O
],O
。,O
与,O
普,O
通,O
人,O
群,O
相,O
比,O
",",O
"
",O
合,O
并,O
糖,B-Disease
尿,I-Disease
病,I-Disease
尤,O
其,O
是,O
未,O
发,O
现,O
、,O
未,O
治,O
疗,O
的,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
血,B-Test
糖,I-Test
升,I-Test
高,I-Test
更,O
"
",O
加,O
显,O
著,O
",",O
围,B-Disease
术,I-Disease
期,I-Disease
死,I-Disease
亡,I-Disease
率,O
和,O
并,B-Disease
发,I-Disease
症,I-Disease
发,O
生,O
率,O
更,O
高,O
",",O
应,O
当,O
在,O
术,O
前,O
加,O
以,O
"
",O
识,O
别,O
。,O
而,O
单,O
纯,O
由,O
于,O
应,B-Reason
激,I-Reason
导,O
致,O
血,B-Test
糖,I-Test
显,B-Level
著,I-Level
增,I-Level
高,I-Level
者,O
往,O
往,O
提,O
示,O
手,B-Reason
术,I-Reason
应,I-Reason
"
",I-Reason
激,I-Reason
很,B-Level
强,I-Level
",",O
或,O
合,O
并,O
感,B-Disease
染,I-Disease
、,O
败,B-Disease
血,I-Disease
症,I-Disease
等,O
并,O
发,O
症,O
",",O
可,O
能,O
为,O
危,B-Level
重,I-Level
患,O
者,O
。,O
"
",O
合,O
理,O
的,O
血,B-Test
糖,I-Test
控,O
制,O
目,O
标,O
大,O
量,O
循,O
证,O
医,O
学,O
证,O
据,O
表,O
明,O
",",O
血,B-Test
糖,I-Test
控,O
"
",O
制,O
有,O
利,O
于,O
减,O
少,O
外,O
科,O
重,O
症,O
患,O
者,O
术,B-Disease
后,I-Disease
感,I-Disease
染,I-Disease
等,O
并,O
发,O
症,O
",",O
但,O
控,O
制,O
过,B-Level
于,I-Level
"
",I-Level
严,I-Level
格,I-Level
(,O
如,O
降,O
至,O
“,B-Level
正,I-Level
常,I-Level
”,O
范,O
围,O
),O
则,O
增,O
加,O
低,B-Disease
血,I-Disease
糖,I-Disease
风,O
险,O
",",O
对,O
降,O
低,O
总,O
死,O
亡,O
"
",O
率,O
并,O
无,O
益,O
处,O
[,O
1,O
~,O
3,O
],O
。,O
尽,O
管,O
目,O
前,O
的,O
结,O
论,O
主,O
要,O
来,O
源,O
于,O
对,O
I,O
C,O
U,O
重,O
症,O
"
",O
患,O
者,O
以,O
及,O
体,O
外,O
循,O
环,O
心,B-Operation
脏,I-Operation
手,I-Operation
术,I-Operation
患,O
者,O
的,O
研,O
究,O
",",O
对,O
一,O
般,O
外,B-Operation
科,I-Operation
手,I-Operation
术,I-Operation
患,O
"
",O
者,O
的,O
理,B-Test
想,I-Test
血,I-Test
糖,I-Test
值,I-Test
尚,O
缺,O
乏,O
高,O
级,O
别,O
的,O
研,O
究,O
证,O
据,O
",",O
但,O
采,O
用,O
适,O
当,O
宽,O
松,O
"
",O
的,O
血,B-Test
糖,I-Test
控,O
制,O
目,O
标,O
已,O
得,O
到,O
了,O
广,O
泛,O
的,O
共,O
识,O
[,O
1,O
",",O
4,O
3,O
。,O
"
",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
管,O
理,O
的,O
要,O
点,O
 ,O
围,O
术,O
期,O
血,B-Test
糖,I-Test
管,O
理,O
的,O
要,O
点,O
在,O
于,O
"
",O
控,O
制,O
高,B-Disease
血,I-Disease
糖,I-Disease
",",O
同,O
时,O
避,O
免,O
发,O
生,O
低,B-Disease
血,I-Disease
糖,I-Disease
",",O
维,O
持,O
血,B-Test
糖,I-Test
平,B-Level
稳,I-Level
。,O
因,O
禁,B-Reason
食,I-Reason
、,O
"
",O
降,B-Reason
糖,I-Reason
方,I-Reason
案,I-Reason
未,I-Reason
及,I-Reason
时,I-Reason
调,I-Reason
整,I-Reason
或,O
降,B-Reason
糖,I-Reason
治,I-Reason
疗,I-Reason
中,I-Reason
断,I-Reason
等,O
因,O
素,O
造,O
成,O
的,O
围,B-Disease
术,I-Disease
期,I-Disease
"
",I-Disease
血,I-Disease
糖,I-Disease
波,I-Disease
动,I-Disease
比,O
稳,B-Disease
定,I-Disease
的,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
危,O
害,O
更,O
大,O
。,O
严,B-Treatment
密,I-Treatment
的,I-Treatment
血,I-Treatment
糖,I-Treatment
监,I-Treatment
测,I-Treatment
、,O
及,B-Treatment
时,I-Treatment
"
",I-Treatment
调,I-Treatment
整,I-Treatment
降,I-Treatment
糖,I-Treatment
治,I-Treatment
疗,I-Treatment
方,I-Treatment
案,I-Treatment
是,O
保,O
持,O
围,B-Test
术,I-Test
期,I-Test
血,I-Test
糖,I-Test
平,I-Test
稳,I-Test
的,O
关,O
键,O
。,O
应,O
根,O
据,O
"
",O
.,O
专,O
家,O
共,O
识,O
.,O
"
",O
患,O
者,O
术,B-Test
前,I-Test
血,I-Test
糖,I-Test
水,I-Test
平,I-Test
、,O
治,B-Treatment
疗,I-Treatment
方,I-Treatment
案,I-Treatment
、,O
有,B-Symptom
无,I-Symptom
并,I-Symptom
发,I-Symptom
症,I-Symptom
、,O
手,B-Operation
术,I-Operation
类,I-Operation
型,I-Operation
等,O
进,O
行,O
"
",O
全,O
面,O
评,O
估,O
",",O
制,O
定,O
个,O
体,O
化,O
的,O
管,O
理,O
方,O
案,O
。,O
"
",O
血,B-Test
糖,I-Test
术,O
前,O
评,O
估,O
与,O
术,O
前,O
准,O
备,O
"
",O
术,O
前,O
评,O
估,O
"
",O
1,O
.,O
糖,B-Test
化,I-Test
血,I-Test
红,I-Test
蛋,I-Test
白,I-Test
H,I-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
 ,I-Test
 ,I-Test
c,I-Test
反,O
映,O
采,O
血,O
前,O
三,O
个,O
月,O
的,O
平,B-Level
均,I-Level
血,B-Test
糖,I-Test
"
",O
水,O
平,O
",",O
可,O
用,O
于,O
术,O
前,O
筛,O
查,O
糖,B-Disease
尿,I-Disease
病,I-Disease
和,O
评,O
价,O
血,B-Test
糖,I-Test
控,O
制,O
效,O
果,O
。,O
对,O
既,O
往,O
"
",O
无,O
糖,B-Disease
尿,I-Disease
病,I-Disease
病,O
史,O
者,O
",",O
如,O
果,O
年,O
龄,O
≥,O
4,O
5,O
岁,O
或,O
体,B-Test
重,I-Test
指,I-Test
数,I-Test
B,B-Test
M,I-Test
I,I-Test
>,I-Test
",",I-Test
2,I-Test
5,I-Test
蚝,I-Test
/,I-Test
"
",I-Test
m,I-Test
2,I-Test
",",O
同,O
时,O
合,O
并,O
高,B-Reason
血,I-Reason
压,I-Reason
、,O
高,B-Reason
血,I-Reason
脂,I-Reason
、,O
心,B-Reason
血,I-Reason
管,I-Reason
疾,I-Reason
病,I-Reason
、,O
糖,B-Reason
尿,I-Reason
病,I-Reason
家,I-Reason
族,I-Reason
史,I-Reason
等,O
"
",O
高,O
危,O
因,O
素,O
",",O
行,O
心,O
脏,O
外,O
科,O
、,O
神,O
经,O
外,O
科,O
、,O
骨,O
科,O
、,O
创,O
伤,O
外,O
科,O
、,O
器,B-Operation
官,I-Operation
移,I-Operation
植,I-Operation
"
",O
等,O
高,O
危,O
手,O
术,O
者,O
",",O
推,O
荐,O
术,O
前,O
筛,O
查,O
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
 ,O
 ,O
c,O
;,O
H,B-Test_Value
b,I-Test_Value
A,I-Test_Value
l,I-Test_Value
c,I-Test_Value
≥,I-Test_Value
6,I-Test_Value
.,I-Test_Value
5,I-Test_Value
%,I-Test_Value
即,O
可,O
诊,O
"
",O
断,O
糖,B-Disease
尿,I-Disease
病,I-Disease
。,O
既,O
往,O
已,O
有,O
明,O
确,O
糖,B-Disease
尿,I-Disease
病,I-Disease
病,O
史,O
的,O
患,O
者,O
",",O
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
 ,I-Test_Value
 ,I-Test_Value
c,I-Test_Value
≤,I-Test_Value
7,I-Test_Value
%,I-Test_Value
提,O
"
",O
示,O
血,B-Test
糖,I-Test
控,B-Level
制,I-Level
满,I-Level
意,I-Level
",",O
围,O
术,O
期,O
风,O
险,O
较,O
低,O
;,O
H,B-Test_Value
B,I-Test_Value
A,I-Test_Value
1,I-Test_Value
C,I-Test_Value
 ,I-Test_Value
 ,I-Test_Value
c,I-Test_Value
>,I-Test_Value
8,I-Test_Value
.,I-Test_Value
5,I-Test_Value
%,I-Test_Value
者,O
建,O
议,O
考,O
"
",O
虑,O
推,O
迟,O
择,B-Operation
期,I-Operation
手,I-Operation
术,I-Operation
。,O
单,O
纯,O
应,B-Disease
激,I-Disease
性,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
者,O
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
 ,I-Test
 ,I-Test
c,I-Test
正,O
常,O
。,O
注,O
意,O
"
",O
贫,B-Disease
血,I-Disease
、,O
近,B-Reason
期,I-Reason
输,I-Reason
血,I-Reason
等,O
因,O
素,O
可,O
能,O
干,O
扰,O
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
 ,I-Reason
 ,I-Reason
c,I-Reason
测,O
量,O
的,O
准,O
确,O
性,O
[,O
I,O
“,O
],O
。,O
"
",O
2,O
.,O
对,O
合,O
并,O
糖,B-Disease
尿,I-Disease
病,I-Disease
的,O
患,O
者,O
",",O
术,O
前,O
还,O
应,O
了,O
解,O
糖,B-Reason
尿,I-Reason
病,I-Reason
类,I-Reason
型,I-Reason
、,O
病,B-Reason
"
",I-Reason
程,I-Reason
、,O
目,B-Treatment
前,I-Treatment
的,I-Treatment
治,I-Treatment
疗,I-Treatment
方,I-Treatment
案,I-Treatment
、,O
低,B-Reason
血,I-Reason
糖,I-Reason
发,I-Reason
作,I-Reason
情,I-Reason
况,I-Reason
",",O
特,O
别,O
是,O
有,O
无,O
糖,B-Reason
尿,I-Reason
病,I-Reason
并,I-Reason
"
",I-Reason
发,I-Reason
症,I-Reason
。,O
合,O
并,O
糖,B-Disease
尿,I-Disease
病,I-Disease
酮,I-Disease
症,I-Disease
酸,I-Disease
中,I-Disease
毒,I-Disease
、,O
高,B-Disease
渗,I-Disease
综,I-Disease
合,I-Disease
症,I-Disease
是,O
非,B-Operation
急,I-Operation
诊,I-Operation
手,I-Operation
术,I-Operation
的,O
"
",O
禁,O
忌,O
。,O
病,B-Level
程,I-Level
长,I-Level
的,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
可,O
能,O
并,O
发,O
冠,B-Disease
心,I-Disease
病,I-Disease
等,O
心,B-Disease
脑,I-Disease
血,I-Disease
管,I-Disease
疾,I-Disease
"
",I-Disease
病,I-Disease
",",O
且,O
心,B-Disease
肌,I-Disease
缺,I-Disease
血,I-Disease
症,O
状,O
往,O
往,O
不,B-Level
典,I-Level
型,I-Level
、,O
容,O
易,O
漏,O
诊,O
",",O
应,O
引,O
起,O
警,O
惕,O
。,O
"
",O
3,O
.,O
手,O
术,O
类,O
型,O
与,O
围,B-Disease
术,I-Disease
期,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
风,O
险,O
相,O
关,O
。,O
手,B-Reason
术,I-Reason
越,I-Reason
大,I-Reason
、,O
应,B-Reason
"
",I-Reason
激,I-Reason
越,I-Reason
强,I-Reason
",",O
血,B-Test
糖,I-Test
增,I-Test
高,I-Test
越,B-Level
明,I-Level
显,I-Level
。,O
与,O
区,B-Operation
域,I-Operation
麻,I-Operation
醉,I-Operation
比,O
较,O
",",O
全,B-Operation
身,I-Operation
麻,I-Operation
醉,I-Operation
特,O
别,O
"
",O
是,O
吸,B-Drug
人,I-Drug
性,I-Drug
麻,I-Drug
醉,I-Drug
药,I-Drug
刺,O
激,O
血,B-Test
糖,I-Test
升,I-Test
高,I-Test
的,O
作,O
用,O
更,O
显,B-Level
著,I-Level
",",O
但,O
目,O
前,O
并,O
没,O
有,O
"
",O
证,O
据,O
证,O
明,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
必,O
须,O
首,O
选,O
区,B-Operation
域,I-Operation
麻,I-Operation
醉,I-Operation
[,O
1,O
],O
。,O
"
",O
术,O
前,O
准,O
备,O
"
",O
胰,B-Drug
岛,I-Drug
素,I-Drug
是,O
围,O
术,O
期,O
唯,O
一,O
安,O
全,O
的,O
降,B-Drug
糖,I-Drug
药,I-Drug
物,I-Drug
。,O
术,O
前,O
应,O
将,O
原,O
有,O
"
",O
降,O
糖,O
方,O
案,O
过,O
渡,O
至,O
胰,B-Drug
岛,I-Drug
素,I-Drug
",",O
并,O
根,O
据,O
禁,O
食,O
情,O
况,O
减,O
去,O
控,O
制,O
餐,B-Test
后,I-Test
血,I-Test
糖,I-Test
"
",O
的,O
胰,B-Drug
岛,I-Drug
素,I-Drug
剂,O
量,O
。,O
"
",O
1,O
.,O
糖,O
尿,O
病,O
患,O
者,O
手,O
术,O
当,O
日,O
停,O
用,O
口,B-Drug
服,I-Drug
降,I-Drug
糖,I-Drug
药,I-Drug
和,O
非,B-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
注,I-Drug
射,I-Drug
"
",I-Drug
剂,I-Drug
。,O
磺,B-Drug
脲,I-Drug
类,I-Drug
和,O
格,B-Drug
列,I-Drug
奈,I-Drug
类,I-Drug
口,B-Drug
服,I-Drug
降,I-Drug
糖,I-Drug
药,I-Drug
可,O
能,O
造,O
成,O
低,B-Disease
血,I-Disease
糖,I-Disease
",",O
术,O
前,O
应,O
停,O
"
",O
用,O
至,O
少,O
2,O
4,O
小,O
时,O
;,O
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
有,O
引,O
起,O
乳,B-Disease
酸,I-Disease
酸,I-Disease
中,I-Disease
毒,I-Disease
的,O
风,O
险,O
",",O
肾,B-Disease
功,I-Disease
能,I-Disease
不,I-Disease
"
",I-Disease
全,I-Disease
者,I-Disease
术,O
前,O
停,O
用,O
2,O
4,O
~,O
4,O
8,O
小,O
时,O
[,O
1,O
“,O
],O
。,O
停,O
药,O
期,O
间,O
监,B-Test
测,I-Test
血,I-Test
糖,I-Test
",",O
使,O
用,O
常,B-Drug
规,I-Drug
"
",I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
控,O
制,O
血,B-Test
糖,I-Test
水,O
平,O
。,O
术,O
前,O
住,O
院,O
时,O
间,O
超,O
过,O
3,O
天,O
的,O
患,O
者,O
可,O
在,O
人,O
院,O
"
",O
后,O
即,O
换,O
用,O
短,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
皮,B-Method
下,I-Method
注,I-Method
射,I-Method
控,O
制,O
血,B-Test
糖,I-Test
",",O
术,O
前,O
调,O
整,O
到,O
适,O
合,O
的,O
剂,O
"
",O
量,O
。,O
无,O
需,O
禁,O
食,O
水,O
的,O
短,B-Operation
小,I-Operation
局,I-Operation
麻,I-Operation
手,I-Operation
术,I-Operation
可,O
保,O
留,O
口,B-Drug
服,I-Drug
降,I-Drug
糖,I-Drug
药,I-Drug
[,O
5,O
·,O
6,O
3,O
。,O
"
",O
2,O
.,O
人,O
院,O
前,O
长,B-Drug
期,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
治,O
疗,O
者,O
",",O
方,O
案,O
多,O
为,O
控,O
制,O
基,B-Test
础,I-Test
血,I-Test
糖,I-Test
"
",O
的,O
中,B-Drug
长,I-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
联,O
合,O
控,O
制,O
餐,B-Test
后,I-Test
血,I-Test
糖,I-Test
的,O
短,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
皮,B-Method
下,I-Method
注,I-Method
射,I-Method
。,O
"
",O
长,B-Reason
时,I-Reason
间,I-Reason
大,I-Reason
手,I-Reason
术,I-Reason
、,O
术,B-Reason
后,I-Reason
无,I-Reason
法,I-Reason
恢,I-Reason
复,I-Reason
进,I-Reason
食,I-Reason
的,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
",",O
手,O
术,O
日,O
换,O
"
",O
用,O
短,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
持,B-Method
续,I-Method
静,I-Method
脉,I-Method
泵,I-Method
注,I-Method
控,O
制,O
血,B-Test
糖,I-Test
。,O
短,B-Operation
小,I-Operation
门,I-Operation
诊,I-Operation
手,I-Operation
术,I-Operation
者,O
",",O
手,O
"
",O
术,O
当,O
日,O
可,O
保,O
留,O
中,B-Drug
长,I-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
",",O
剂,O
量,O
不,O
变,O
或,O
减,B-Amount
少,I-Amount
1,I-Amount
/,I-Amount
3,I-Amount
~,I-Amount
1,I-Amount
/,I-Amount
2,I-Amount
",",O
停,O
"
",O
用,O
餐,B-Drug
前,I-Drug
短,I-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
[,O
5,O
’,O
6,O
],O
。,O
"
",O
3,O
.,O
术,O
前,O
控,O
制,O
餐,B-Test_Value
前,I-Test_Value
血,I-Test_Value
糖,I-Test_Value
≤,I-Test_Value
1,I-Test_Value
4,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
7,I-Test_Value
.,I-Test_Value
8,I-Test_Value
 ,I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
",",O
餐,B-Test_Value
后,I-Test_Value
血,I-Test_Value
"
",I-Test_Value
糖,I-Test_Value
≤,I-Test_Value
1,I-Test_Value
8,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
1,I-Test_Value
0,I-Test_Value
.,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
。,O
手,B-Reason
术,I-Reason
风,I-Reason
险,I-Reason
越,I-Reason
高,I-Reason
",",O
术,B-Test
前,I-Test
血,I-Test
糖,I-Test
控,O
制,O
"
",O
达,O
标,O
的,O
重,O
要,O
性,O
越,O
强,O
。,O
另,O
一,O
方,O
面,O
",",O
术,B-Test
前,I-Test
血,I-Test
糖,I-Test
长,B-Level
期,I-Level
显,I-Level
著,I-Level
增,I-Level
高,I-Level
者,O
",",O
围,O
术,O
"
",O
期,O
血,B-Test
糖,I-Test
不,O
宜,O
下,B-Level
降,I-Level
过,I-Level
陕,I-Level
。,O
因,O
此,O
",",O
应,O
当,O
综,O
合,O
评,O
估,O
风,O
险,O
",",O
合,O
理,O
选,O
择,O
手,O
术,O
"
",O
时,O
机,O
",",O
可,O
适,O
当,O
放,O
宽,O
术,B-Test
前,I-Test
血,I-Test
糖,I-Test
目,O
标,O
上,O
限,O
至,O
空,B-Test_Value
腹,I-Test_Value
≤,I-Test_Value
1,I-Test_Value
8,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
c,I-Test_Value
U,I-Test_Value
(,I-Test_Value
1,I-Test_Value
0,I-Test_Value
"
",I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
",",O
随,B-Test_Value
机,I-Test_Value
或,I-Test_Value
餐,I-Test_Value
后,I-Test_Value
2,I-Test_Value
小,I-Test_Value
时,I-Test_Value
≤,I-Test_Value
2,I-Test_Value
1,I-Test_Value
6,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
1,I-Test_Value
2,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
E,I-Test_Value
⋯,I-Test_Value
。,O
"
",O
4,O
.,O
避,O
免,O
术,O
前,O
不,O
必,O
要,O
的,O
长,B-Reason
时,I-Reason
间,I-Reason
禁,I-Reason
食,I-Reason
",",O
糖,O
尿,O
病,O
患,O
者,O
择,O
期,O
手,O
"
",O
术,O
应,O
安,O
排,O
在,O
当,O
日,O
第,O
一,O
台,O
进,O
行,O
。,O
禁,O
食,O
期,O
间,O
注,O
意,O
血,B-Test
糖,I-Test
监,I-Test
测,I-Test
",",O
必,O
要,O
"
",O
时,O
输,O
注,O
含,B-Drug
糖,I-Drug
液,I-Drug
体,I-Drug
。,O
由,O
于,O
术,O
前,O
精,B-Reason
神,I-Reason
紧,I-Reason
张,I-Reason
应,I-Reason
激,I-Reason
",",O
手,O
术,O
患,O
者,O
发,O
生,O
低,B-Disease
"
",I-Disease
血,I-Disease
糖,I-Disease
的,O
风,O
险,O
低,O
于,O
普,O
通,O
住,O
院,O
患,O
者,O
。,O
"
",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
监,O
测,O
和,O
控,O
制,O
目,O
标,O
